filename,version_id,section,thread,description,status
armsrace.png,135603b2-7263-4ffb-8c85-2cc278f1ceb5,Signal landscape,signals,Arms-race signature: interface residues evolve faster than the buried core in deep partners.,supporting
constraint_arms_race.png,7b87200f-7e1d-4546-a9e3-1e0f6cf09925,Signal landscape,cpu,PLM masked-LM constraint as an arms-race proxy — host vs pathogen asymmetry.,supporting
phylo_signals.png,704874f8-2140-4722-aa6a-9dce638beb22,Signal landscape,commensal,Phylogenetic profiling: bacterial-partner co-occurrence across genomes recovers known family structure.,supporting
coev_heatmaps.png,91afb3c7-d5e1-41f7-aca6-99e16edd7859,Signal landscape,signals,Coevolution coupling heatmaps for the analyzed complexes.,supporting
signal_scorecard.png,cd4a565b-5520-4745-88cb-0a3fbb8d65f9,Signal landscape,commensal,Signal-availability scorecard across 9 human–commensal PPI pilot pairs (separate commensal thread): inter-protein DCA undefined everywhere; intra-protein & arms-race present.,supporting
pilot_validation.png,570177f3-ee1b-4fdd-869e-19f9d1f1191e,Structure prediction (Stage 3),af3,"NEWEST: AlphaFold-3 host–pathogen pilot — complex confidence (iPTM), interface recovery vs PDB ground truth, and confidence-vs-accuracy, 8 of 11 pairs scored (iPTM 0.11–0.70, F1 0–0.63).",headline
pilot_overview.png,46ab4fe4-6503-4d83-ad65-7a89ed535afc,Structure prediction (Stage 3),pilot,Pilot overview panel for the lead complexes.,supporting
coevo_ablation.png,4e495789-64a4-47db-a733-f8a4d431f435,The coevolution lever,imbalanced,Coevolution-feature ablation on the imbalanced benchmark (embeddings vs +coevo vs coevo-only).,supporting
figD_signal.png,769a1185-978b-4db2-ac64-7f704702cc36,The new signal,main,"Headline: SARS-CoV-2 concentrates strain variation at ACE2-contact residues — one signal, two baselines (4.2× within RBD, 9.75× vs whole Spike), perm p=1e-4. [Publication-grade, rebuilt]",headline
newsignal_test.png,191fface-375a-4df1-bdb0-469d9bae3b31,The new signal,main,"The three tests of the new signal on SARS-CoV-2: cross-side coupling (null), strain-covariation→contact (null), interface-localized variation (strong).",headline
variation_coverage.png,b664e722-46c9-443a-9412-266ef2c07d44,The new signal,main,"Population×strain variation dataset: ACE2 (675 missense variants, interface invariant) vs RBD (per-residue strain entropy).",supporting
